userID,userName,userFollows,userFans,userVideos
493795621,曹胜歌,108,344195,42
164598376,-余怂怂-,143,127496,18
170088482,炎辰大鸽子,115,1147947,99
401742377,原神,56,11553396,198
49256130,不知枫叶,83,81511,83
627888730,星有野,93,3025405,56
32291109,阿紫VirgoAzi,13,220447,22
220114788,玉译沙画工作室,75,191754,30
141496,麦之花Hibana,318,287927,8
2020642651,铁皮软糖乐队,21,414376,52
402002385,秃马君,13,328055,277
586789337,我叫孙火旺,90,1753223,213
422292755,bobo最洋气,17,435828,11
1773346,莴苣某人,171,2071736,82
1934386094,演员吴刚,5,224504,7
533459953,刘庸干净又卫生,3,3898858,280
487462755,洋洋郑小羊,18,520554,116
629825579,猹泡饭233,5,37174,41
99157282,盗月社食遇记,609,6839293,484
12913627,橘域网,240,254791,241
15826102,小海带sS,79,93163,174
13354765,徐大虾咯,68,7422837,226
1885078,nya酱的一生,128,2200189,275
645711700,不普通人类实录,149,1781806,179
6814377,WindPoro,854,194051,30
7349,STN工作室,111,1958687,1065
406871371,捏碳碳碳碳,453,741915,106
147166910,雨哥到处跑,226,2746080,250
17819768,电影最TOP,38,4458610,431
395135643,Milk缪客,232,459611,50
2104666182,星空眼萨摩萌萌,6,134730,47
361733485,大桥桥Stephen,90,7879,71
488779255,动漫作业本,213,866193,359
29329085,二喵的饭,159,4574931,215
5870268,三代鹿人,133,5824166,163
65876359,奔跑的任多多,22,9633,18
396643338,是贪吃蛇蛇,17,226409,23
50247468,神经刀游戏工作室,104,42773,45
24314825,猫店,272,1062282,141
1831744377,靳建强,61,93768,8
244144308,大司马工作室,14,1685865,2441
4722429,钧哥你大舅,826,60105,16
406526866,一米八的大龙猫,88,22707,293
52190805,麟宣森,286,1809763,114
2342149,怪漫阿修,86,292310,24
546195,老番茄,1,17268180,415
1838326986,帅农鸟哥,13,2643966,37
9824766,敬汉卿,92,9282383,1181
401742377,原神,56,11553408,198
99157282,盗月社食遇记,609,6839293,484
38131199,王大哥隔壁的,172,14709,102
397490386,肝帝董佳宁,621,1298949,240
374264854,闽男本色MANNAM,10,315735,31
422292755,bobo最洋气,17,435828,11
10360627,张全蛋,26,742704,47
330415548,谭乔,43,3744751,353
14110780,凉风Kaze,33,8195209,471
407054668,亿点点不一样,30,1827276,10
1291916731,奥运冠军吕小军,2,405634,28
124735327,-柠萌菌-,348,934678,308
1333028644,椰子-雨晴,5,19458,2
2206456,花少北丶,43,5940321,209
1437482249,剪狗毛的倩哥,46,382517,57
354367503,淦斯巴达,431,13829,31
435533888,罗老师哲学课堂,8,574490,46
90361813,三十六贱笑,1131,4948059,179
11073,hanser,58,3092320,258
454143774,乡村教师日记,266,1199020,235
429765143,快乐阿依,137,230680,205
38361749,这个涂改液有毒,197,2867,15
678073,Melonshu,1463,90539,174
3670216,TF家族,3,4749150,1243
42561463,浑元Rysn,334,2475372,334
9046228,在下曼妥思,592,244483,64
285499073,东尼ookii,187,4492552,251
26321770,和猫住,49,2028637,272
423895,怕上火暴王老菊,174,2480677,678
37880130,玩音乐的EZ,77,905423,302
7349,STN工作室,111,1958687,1065
1529865934,女明猩粥粥,10,95222,35
627888730,星有野,93,3025407,56
11646119,正直讲史-李正Str,93,1142671,67
477278,木羽说科技,733,662759,125
448019333,也就那点事儿-,16,1472467,26
386043247,腾格尔,36,1739785,185
14804670,无穷小亮的科普日常,87,7570834,225
11026741,沉沉一灰,260,45821,66
3066511,特效小哥studio,187,2780025,234
5970160,小潮院长,99,7653242,267
1607596057,高傲地低于生活,69,50722,7
23947287,小约翰可汗,334,4356382,94
496783876,幸运猎手,3,777702,68
1265652806,明日方舟终末地,4,1279287,2
586789337,我叫孙火旺,90,1753223,213
473524263,澳洲阿彭,201,2156574,113
20259914,稚晖君,241,1927744,49
562197,中国BOY超级大猩猩,116,8199956,1526
38606568,一颗咕咕星,103,899471,165
18202105,绵羊料理,147,9553389,333
427494870,硬核拆解,218,1249720,732
546195,老番茄,1,17268187,415
99157282,盗月社食遇记,609,6839294,484
308555356,i鱿鱼Y,26,14443,42
53456,Warma,1189,3471575,204
81824112,导演小策,98,3195588,186
1159074852,城市牧羊人-,49,41103,15
7518140,暂离二度,305,109121,95
1941449,雁老师,469,225135,42
624243924,GIDLE_official,4,414185,77
13566451,里抚,139,2377,21
448019333,也就那点事儿-,16,1472468,26
23604445,上海滩许Van强,487,1756525,168
21778075,_青红造了个白_,8,1118463,26
31881,太白金星小蓬莱,404,29320,21
423895,怕上火暴王老菊,174,2480678,678
353539995,拜托了小翔哥,20,4468508,147
1831744377,靳建强,61,93768,8
382986457,结巴老爹,30,1321200,559
730732,瓶子君152,168,3402352,212
9511907,螺丝爱洗头,168,75189,63
1420982,黑猫厨房,700,4058697,235
26046022,哎呀轩大,59,92977,94
8969156,小白测评,34,2616126,1041
94832289,迷路小剧场,44,22371,13
384939011,Henry的小木屋,336,894174,65
174902557,没啥用科技,27,1748070,29
46708782,鲁大能,117,2237959,363
617394761,米雷-RayDog,4,929910,133
11646119,正直讲史-李正Str,93,1142671,67
432174249,隔壁红魔,79,285775,360
511148568,冷却报告,122,339415,52
10159633,涂罗伊,7,51082,8
29126359,GZHhaha,33,301182,7
454560170,住范儿,30,1557109,75
263090405,猫不理咖啡,414,1340110,392
627888730,星有野,93,3025411,56
442177273,计算机学长,21,787930,246
67141499,大漠叔叔,82,5284185,402
99157282,盗月社食遇记,609,6839294,484
35833561,在下冷冷,38,82060,14
106904607,小熊猫Panda_,16,77131,2
254463269,毕导THU,237,4857354,126
325399211,小蘑菇,10,143761,91
293539648,Tydot官方,14,172057,34
517433879,中国警察网,68,561023,1653
13199099,植物椿,61,1606221,485
23947287,小约翰可汗,334,4356383,94
29329085,二喵的饭,159,4574931,215
16206007,vivi可爱多,137,2218769,254
378123632,唯佳酱,43,771468,63
1833524110,含亮老师,41,578902,19
14193369,是毛布斯呀,173,277202,55
161775300,明日方舟,3,4558741,200
197427372,某哲君丶,645,29773,52
195385901,迷糊哒师兄,8,14034,83
2072577982,卑鄙的老曹,106,537664,95
2044333698,何胜0423,65,790045,73
441449841,莱茵实验组,160,297343,800
37663924,硬核的半佛仙人,389,6716788,266
1532165,papi酱,45,7112526,249
8037081,炷天cartoooo,657,23082,20
452606628,王师傅和小毛毛,86,1190182,198
6065166,川同学不穿童鞋,231,812505,231
2053132439,白日梦不要钱--,22,129174,80
44170362,卷er,164,317483,24
285499073,东尼ookii,187,4492551,251
63231,泛式,463,4652612,234
14804670,无穷小亮的科普日常,87,7570838,225
495695169,锤子game,1141,639464,124
280793434,手工耿,41,6552310,177
293931870,薯条日记,15,28550,10
479342898,野球帝郭师傅,19,293939,363
1647391676,梅姐爱画画,6,31014,37
7349,STN工作室,111,1958687,1065
485509022,-阿Q小当家,26,35340,118
693450094,嗑书的阿冉叔,39,678916,52
476704454,小文哥吃吃吃,99,3212583,464
109038683,汪丷先生,5,250322,107
10119428,小片片说大片,436,5640390,1152
546195,老番茄,1,17268195,415
442177273,计算机学长,21,787931,246
444935584,梦幻西游电脑版,8,154685,735
19642758,力元君,421,3764598,400
37746255,多拉的十九N,51,1072254,263
419872064,老饭骨,10,2667962,426
447212385,豆豆豆豆逗是我,75,104020,27
1624439811,前进的查理,19,84452,5
473524263,澳洲阿彭,201,2156576,113
18202105,绵羊料理,147,9553392,333
384939011,Henry的小木屋,336,894174,65
1108577269,仓鼠搭档,13,7238,29
473837611,新华社,62,6198734,2984
23947287,小约翰可汗,334,4356386,94
283036476,狈总,165,1892690,257
87986232,沉梦丶c,2,13650,21
703007996,A-SOUL_Official,19,326484,57
30889546,红桃H丶,8,141057,63
1473830,AIChannel官方,5,1754463,1729
946974,影视飓风,479,4383277,485
1238329219,觅2,9,251965,18
517327498,罗翔说刑法,13,22735506,253
63231,泛式,463,4652614,234
325159039,白小纯2019,131,175649,91
38461325,黑猫重工,71,422143,18
1542940882,无脸男葫芦,81,270347,47
1420982,黑猫厨房,700,4058698,235
1481344732,我们都是社畜,80,320403,72
1869712375,山城小栗旬的理发日记,61,2905232,71
5970160,小潮院长,99,7653252,267
331646,蟹叔叔,65,57006,61
10119428,小片片说大片,436,5640391,1152
90142376,锦书致南辞,0,1102741,267
23237718,害羞7,75,755015,42
14804670,无穷小亮的科普日常,87,7570848,225
486759751,卡门卡卡_,3,445318,55
37961599,小缸和阿灿,7,1508268,179
423895,怕上火暴王老菊,174,2480679,678
7349,STN工作室,111,1958686,1065
35894872,老奇好好奇,38,446057,2
533459953,刘庸干净又卫生,3,3898873,280
1532165,papi酱,45,7112526,249
627888730,星有野,93,3025414,56
447317111,Meetfood觅食,60,1621690,198
626793827,清欢纪原创汉服工作室,4,51305,229
46708782,鲁大能,117,2237960,363
519872016,历史调研室,28,3135099,42
690545051,吹拉弹唱慕星银,49,239566,55
501687003,阿靖zi-,23,355125,38
18343098,河野华,150,694376,35
375375,伊丽莎白鼠,59,6569147,78
432938640,阿呆同学啊,56,30933,95
1590082082,马俐管家,11,176428,56
86138838,阿男的食谱,80,918026,68
546195,老番茄,1,17268201,415
344488725,易凌叔,184,295067,89
5294454,逗比的雀巢,177,5261185,88
32618090,托比昂的护甲包,298,108851,55
7349,STN工作室,111,1958686,1065
1238329219,觅2,9,251965,18
3670216,TF家族,3,4749163,1243
23947287,小约翰可汗,334,4356388,94
18202105,绵羊料理,147,9553391,333
503400701,刘琥动画,25,158926,159
13279707,最上川下山,142,1553947,124
479551750,墨竹手写,127,354992,243
2200736,才疏学浅的才浅,243,4338208,56
1131457022,人民日报,22,4618544,1086
1869712375,山城小栗旬的理发日记,61,2905233,71
1254786108,钉宫理惠,2,487335,5
34070103,师梦徽瑜,496,57750,38
12842284,气球屋w,162,3817,4
5870268,三代鹿人,133,5824207,163
1978885142,石黑英雄,3,399412,15
476704454,小文哥吃吃吃,99,3212584,464
41039728,博丽x海苔,188,48028,16
452606628,王师傅和小毛毛,86,1190182,198
4637682,绘之音,214,376513,47
35781763,七分甜的秋刀鱼,90,507005,125
477676711,田一名sir,6,899954,103
207261582,晓观队长,338,809239,37
333020125,野生大肥扬,119,602111,260
41149747,怪兽电台MonsterBlog,441,288612,100
518990456,詹詹家的猫meow,41,70822,222
7788379,兔叭咯,343,6311063,290
1577804,某幻君,56,7320763,301
94792232,Far远东,97,65611,10
14110780,凉风Kaze,33,8195205,471
533459953,刘庸干净又卫生,3,3898874,280
282960675,-阿洋Yoko-,108,21090,35
2017576198,唐小米婆婆,6,467203,48
508416316,本喵叫兔兔,40,1420669,210
285571498,盖里老哥,45,1524061,302
10330740,观察者网,45,7511299,13164
18374719,红糖打年糕,86,6316,26
101376123,秋名山上的486,621,224327,188
330663625,站不起来的蒙蒙,100,1276769,71
386043247,腾格尔,36,1739784,185
1238329219,觅2,9,251965,18
28033852,罗元1994,5,274959,12
53456,Warma,1189,3471580,204
410203688,陈仕贤1114,24,634545,168
2130589656,小菜来追剧了,6,2829,29
18784364,妖の战歌,126,36900,30
517327498,罗翔说刑法,13,22735520,253
27534330,崩坏3第一偶像爱酱,15,3556806,355
10119428,小片片说大片,436,5640395,1152
2022718277,花滑运动员特鲁索娃,4,661296,48
436735222,梦想做大佬的男人,172,84419,75
403213711,闲鱼混剪,1,86207,154
401742377,原神,56,11553434,198
1527390033,王濛,3,915792,12
36438715,一大筐会飞的草莓,212,57133,25
23947287,小约翰可汗,334,4356389,94
63231,泛式,463,4652618,234
3433092,狂阿弥_,100,1768840,153
397211154,十五的月亮廿九圆,61,406274,170
170948267,衣戈猜想,207,627126,31
448019333,也就那点事儿-,16,1472474,26
1910020454,谁不重要i,196,423025,60
25422790,红色激情,9,1125835,164
11688464,天才小熊猫本人,11,2115866,9
67378210,网易梦幻西游手游,3,82294,268
590201208,龙帅食堂,20,1469841,96
384939011,Henry的小木屋,336,894173,65
730732,瓶子君152,168,3402348,212
14110780,凉风Kaze,33,8195205,471
680447,马里奥红叔,88,1243099,1740
1401735960,HOYO-MiX,9,142133,3
10579922,宛倾然,360,36102,133
7349,STN工作室,111,1958686,1065
31225950,不是柯桑德,194,1545799,245
2108856,流萤Zz,396,1445280,232
337260306,二凡就是我,349,16710,199
161775300,明日方舟,3,4558744,200
328538733,老耗游戏,90,1286442,115
1342377259,暴风岛沉浸式密室,6,120782,74
90361813,三十六贱笑,1131,4948060,179
1505548387,杨三岁和小鱼,8,608461,224
22699531,没早晨的马丁,194,36759,21
5870268,三代鹿人,133,5824213,163
2087432052,安娜-谢尔巴科娃,3,1033002,41
5007752,萝卜吃米洛,83,1260863,555
627888730,星有野,93,3025415,56
1238658741,中级粒子,57,30565,11
5374954,深海色带鱼,197,1321163,212
477676711,田一名sir,6,899953,103
626297715,荒草音乐,19,217939,628
59905809,哦呼w,256,2072472,147
1527390033,王濛,3,915791,12
