videoBVID,videoName,videoOwnerID,videoViews,videoDanmaku,videoLength,videoLikes,videoCoins,videoFavorites,videoComments,videoShares,videoRecommendReason,videoTag,videoReleaseTimeStamp,videoBoardID,videoBoardRank
BV1bt4y1x7Wk,真人手法VS动漫特效！我在现实世界还原了JOJO里的赌术！,38606568,5971048,36398,396797,797646,675554,132492,5859,18499,众所周知，“JOJO的奇妙冒险是根据真实事件改编”（doge,野生技能协会,1652520604,165,3
BV1GS4y1b7n7,白嫖党的硬币保不住了？自制「隐形人」短片，用特效夺走你的硬币,946974,4434628,8907,852600,224859,191368,58093,1913,3638,《 亿 拍 即 合 》,短片,1652281913,165,4
BV1Nv4y1A7R1,废 话 连 篇,6054967,6967683,20647,83533,363618,75224,109025,2424,38829,反 复 强 调,鬼畜调教,1652760040,165,5
BV1o5411973k,我打赌，这个猫咪做出来你能玩一天,1895195099,4033761,7750,223865,355652,65306,178853,4561,50984,“摇头晃脑猫猫头”,美食制作,1652803288,165,6
BV1TR4y1A7E8,低成本口碑佳作《毛骗》正式登陆B站，S1E01 梦开始的地方！（防骗！反诈！）,543832538,3958352,23096,2219939,175313,153873,92817,14176,29842,真·梦开始的地方！,短片,1652420454,165,7
BV1Av4y1N7bZ,【亮记生物鉴定】网络热传生物鉴定39,14804670,7902257,41512,493942,830949,67191,60817,7948,15398,流苏树：我能受这委屈？？,科学科普,1652503806,165,8
BV1iT4y1B7hH,⚡️云 南 的 澎 湖 湾⚡️,5260378,2477363,5815,75973,134534,26381,31364,1871,17570,好家伙，DNA错乱了！,人力VOCALOID,1652617938,165,9
BV1ea411J7k9,学了十年代码写的《拳皇》,33824345,6339966,11998,533092,521565,152958,93546,3966,13061,梦幻联动！！,单机游戏,1652498686,165,10
BV1CF41177Tg,“请把我埋在，埋在那地理”,17134369,5389242,10538,110581,803933,132375,328031,12055,85081,好家伙，太魔性太上头了！,原创音乐,1652501269,165,11
BV1At4y1x7n9,《 卷 死 自 己 》,337521240,10818688,65043,247055,884152,85680,71177,4834,6323,你们不要再“卷”了啦（doge,美食制作,1652693409,165,12
BV1xT4y1B7gg,《绝区零》首曝PV | 世界全剧终，欢迎来到新艾利都！,1636034895,6718785,21983,163812,381475,214064,98408,58402,199163,“我的入城申请请批一下”（狗头,手机游戏,1652353324,165,13
BV1vT4y1B78b,这玩意要是不简单，把我的头拧掉！！！【冰淇淋】,320818292,2009320,954,184057,182531,86123,200762,1489,12073,进我的收藏夹吧！,美食制作,1652527201,165,14
BV1aB4y1y7u5,朋友们，我飘了，敢在B站上传10分钟以上的视频了！,1838326986,8382757,22780,654073,426225,164133,40680,5863,10670,“这一身才艺，谁看了不迷糊”（doge,绘画,1652510385,165,15
BV1z54y1Z7pr,深度揭秘手机芯片能效！到底谁功耗最高？为什么会翻车？,25876945,1882235,17953,1559929,265356,323105,84401,13416,25467,《超硬核测评》,数码,1652962329,165,16
BV1vZ4y187Zs,用时一个多月成功骑行穿越阿里中线，亚热乡水井房扎营休息一天,697166795,1407535,34982,1390393,141189,169291,15867,7588,5267,“恭喜走完阿里中线，期待下一段旅程的开始”,出行,1652796021,165,17
BV1r541197CT,《我奶也可以成为国际超模之BV葆蝶家》,391947028,3197253,870,31888,437481,7410,29342,1246,3829,满级奶奶！这也太酷了！,时尚潮流,1652438051,165,18
BV1N34y1E7kU,精彩！！全球通关率1.4%，在虚无世界寻找*存在*的意义，你从未见过的俄罗斯超现实主义游戏-《pathologic》,246370149,2461131,13779,5920036,191296,144183,114011,3308,6503,“虚拟和现实的莫比乌斯环，够浪漫！”,单机游戏,1652880265,165,19
BV1TA4y1f79R,我花了20天在vr里画出了初号机,28896330,949156,2603,255728,169114,54561,19497,1661,3976,整个画面，很震撼！！,绘画,1652693621,165,20
BV1jT4y1z7dg,“为什么他们都在笑，我却哭成了狗...”,99157282,1580398,7524,1067234,168210,140845,32912,3469,6068,“这次重访特别有意义”,日常,1652932003,165,21
BV1DZ4y187yQ,云 南 战 车,1773094,1917701,2817,158819,94495,50182,26742,2565,25911,这葫芦丝就离谱了！！,音乐综合,1652793336,165,22
BV19t4y1x7sr,30+连败赏金猎人？我能创造历史吗？,13904634,2130566,3509,504655,189535,150371,34787,2864,10032,《格局打开了》,电子竞技,1652756411,165,23
BV1wZ4y187PQ,决斗必须要有铁的意志和钢的强韧【水无月菌】,1958342,2504491,7437,537529,199449,142113,37435,6306,13011,“跌宕起伏的热血”（doge,桌游棋牌,1652527804,165,24
BV1Mv4y1N7WJ,我 吹 唢 呐 的,42561463,4706937,9800,48996,535590,57893,83659,2792,11608,《悍匪展示唢呐宝库》,演奏,1652627172,165,25
BV1F5411R7jb,【连续洗30天冷水澡】我的身体发生了什么变化?,66391032,2744466,8144,560616,148803,74315,44598,7758,18934,“这真的不是一般人能做到的”,健身,1652601192,165,26
BV1FB4y117Ef,【刘谦魔术课】不认识这人，不要说你懂魔术,641975239,1834412,15695,1005581,151636,71027,21266,4779,3897,与魔术爱好者斗法时如何脱颖而出？（doge,明星综合,1652695262,165,27
BV1BA4y1S7gt,【 变 形 蛋 】我花了30天，把蛋改成了这样……,1919368099,2424094,2408,317176,105082,43312,14868,1588,3048,过于帅气了属于是,改装玩车,1651998909,165,28
BV1vZ4y1a7Be,《明日方舟》危机合约新赛季「渊默行动」宣传PV,161775300,1805840,5197,83533,123902,37456,18382,17320,27679,非…非常简单（狗头,手机游戏,1652665696,165,29
BV1gY411F7Nz,我 是 主 E 的,5878572,2976455,743,49231,125977,14468,14200,1125,10278,《凭 E 近 人》,鬼畜剧场,1652846702,165,30
BV1sS4y187f7,华农兄弟：兄弟把母校改成了加工厂，让更多人在家就能就业,250858633,2971842,6398,350500,197262,33729,6960,3876,2851,“带动乡村振兴”，好耶！,日常,1652758205,165,31
BV1At4y147ri,没错！我们是全世界最土的人！！！,113362335,1412773,9984,583225,228567,110432,29186,1817,8272,好家伙，跟着看“土味”实在太欢乐了！,日常,1652941454,165,32
BV1r34y177eB,乡村真人版《战神金刚》：我来组成头部…,385626302,1547658,3060,148216,138231,28882,14729,2148,4745,真·大制作！人才哇！,手办·模玩,1652501710,165,33
BV1dR4y1c7qi,【花泽香菜自投稿】恋爱循环，再来一遍！,1202762767,4666378,6431,256402,597923,145215,108082,6731,22446,投稿时间都是细节！！,音乐现场,1653017019,165,34
BV1U34y1h7cV,哈尔的移动城堡，还原宫崎骏动画里的早餐~【糖霜饼干】,1066116711,2517275,1145,57941,267107,2768,31247,839,4000,请勿使用魔法！,手工,1652438013,165,35
BV1Mv4y1N7UL,靠近一点点婚礼版,494512664,641886,1228,116780,62285,14562,28392,1109,8923,画面美好到忘记自己是单身狗（doge,演奏,1652439619,165,36
BV1CF41177Js,假如我被全网封杀 我还能靠什么挣钱,122879,2267163,5104,404047,172017,48156,19645,3504,2537,探索在各种假设情况下能干出如何“丧病”的事情（doge,单机游戏,1652594404,165,37
BV1iL4y1F76m,你好，我叫卡塔琳娜【原神】,2505015,1852187,2628,226194,189497,66481,88530,3787,9641,这完成度... 太强了！,短片·手书·配音,1652441820,165,38
BV1kg411d7rg,东北麻辣烫店里的炸串也太好炫了，老板竟然是浙大博士！,6087825,2226606,9142,561593,165952,55344,15504,2896,6914,“白天刷不到，晚上逃不掉”（狗头,美食侦探,1652941802,165,39
BV1Gv4y1N7e1,"现场见证 ""G6汤神"" 时隔三年！成功晋级西决！灰熊再见！",6336952,1193382,29817,1637107,157187,151107,27182,4008,7330,出现了！预言家！,篮球,1652611596,165,40
BV1o3411A7Bc,B站首个『我是云南的 』 改编 “宏伟大气”国风说唱✔,2109291877,3415141,4791,253412,316934,106379,96075,4517,24193,“又土又潮”，太优秀了！,原创音乐,1652846442,165,41
BV1ZA4y1S7Da,长短发都能做！荆棘公主发型～夏天不热 巨显脸小,13286819,2152348,780,287540,88095,27119,124078,749,6411,《约尔太太日常发型》,美妆护肤,1652437954,165,42
BV1y3411N7r3,【原神手书】魈 - 游生梦死,22928325,1313526,1508,110329,203111,130784,124134,2014,16925,震撼！神仙作品！,短片·手书·配音,1652701598,165,43
BV1Q3411A7TK,十年网龄才知道的CF地图，还记得当年的穿越火线是什么样子吗？（CF地图篇1）,235630215,2134866,9502,608484,126662,76502,21086,7520,9385,都是青春啊！,网络游戏,1652954450,165,44
BV1pU4y1S73k,为了体验下在太空里那种失重旋转的感觉自己做了辆失重离心车,280793434,8050160,103953,1118861,826065,767664,114622,26393,74116,“妈妈，我想当太空人”！,极客DIY,1652313616,164,1
BV1oa411a7B4,求求你别停产！这玩意我能吃一辈子！！,393166851,10990191,34204,516601,794476,154137,155539,17696,20144,怀念儿时的味道！,美食制作,1651905132,164,2
BV1ru411r73v,《本草纲目》，但是废话文学,28348490,10525403,29019,123373,850332,293061,303067,6588,117127,废话文学，永无止境！（doge,人力VOCALOID,1651831227,164,3
BV1A5411d7Dm,【我的世界 4K】一人，四年，十亿方块，一座华夏城,403097853,3473172,9865,201039,512931,555002,188709,5006,27139,《仙境美如画》,单机游戏,1651737694,164,4
BV1KF411M77B,只要5分钟，请为你的妈妈看完这个视频吧,106685726,5618143,30804,320143,799331,592872,389274,24334,125870,"“母亲不会在回忆中碎裂,总有人会把她拼接成一份感动”",人文历史,1651896033,164,5
BV1oT4y1671T,“历史书太小 装不下一个人波澜壮阔的一生   历史书又太大 装下了华夏上下五千年 ”,34840587,13180259,31867,302905,1475138,1028572,814640,24704,93832,“每天一遍，告别颓废”,影视剪辑,1652246197,164,6
BV1M34y1h7ks,华 妃 之 怒,57214324,8306597,10289,129059,649945,163320,135532,9231,224649,让人眼前一“亮”的作品（doge,搞笑,1652320093,164,7
BV1YA4y1S74A,G2：打T1这事儿还得我来教你！,10901294,3629775,11947,668173,265052,262288,78581,6553,82146,堪称绝活（狗头,电子竞技,1652061000,164,8
BV163411P7vP,掀开满层辣椒，终于明白，这玩意儿为啥能火爆夜宵街头了！,99157282,4459580,14022,598072,266095,132082,39227,5939,30961,馋哭了！隔着屏幕都能“闻到香味”！,美食侦探,1651829221,164,9
BV1LA4y1Q7QG,⚡️第一次当妈，没啥经验⚡️,30029844,5216435,5610,223823,365638,150795,108975,3448,40526,超用心剪辑，看完泪目了！,喵星人,1651910164,164,10
BV1o54y1f7JM,东汉顶流格局有多大？【小约翰】,23947287,3283945,24602,1132984,208919,64217,25999,6026,5270,进来长知识了~,人文历史,1652263492,164,11
BV1S54y1f7G2,这绝对是你见过的最像费玉清版的爱情恰恰,332707311,5689367,6950,153871,384868,107107,35149,3540,23588,还没开始就笑了（狗头,舞蹈综合,1652011535,164,12
BV1ku411z75C,今年23岁！我居然被迫剃了寸头！,474702359,2499277,36433,334329,259039,83306,17571,10480,7759,“理发店内外充满了快活的空气”,搞笑,1652087650,164,13
BV1VS4y1h78i,用【本草纲目】演奏【本草纲目】,1513064930,2887906,3288,115428,273879,87957,51537,2479,11606,专业对口了属于是（doge,演奏,1651831979,164,14
BV1e3411N7P2,原来名校的答辩PPT长这样，怪不得导师要给满分！,627650811,1205966,673,244964,74606,43622,138071,1270,12539,这惊人的收藏量！,设计·创意,1652090438,164,15
BV1JZ4y1h7nD,全世界仅此一辆！用96天为我的宝贝造出一辆兰博基尼 Vision GT概念超跑,1564863651,2798776,6299,853709,107707,54857,29438,2476,9221,给孩子玩可能略显幼稚，但对我来说刚刚好！（狗头,手工,1651914902,164,16
